County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Baltimore City,98744,Registered Family Home,Robin Dickson,Baltimore,21215,Yes,3,Yes,3,Yes,2,Oct 25 2018,Oct 01 2020,0,,,,
Calvert,98738,Center,Dawns Early Light - Dunkirk,Dunkirk,20754,Yes,2,Yes,2,Yes,3,Jan 10 2019,Nov 20 2020,0,,,,MSDE
Prince George's,98690,Registered Family Home,Lawanda Dallas,Silver Spring,20903,Yes,1,Yes,1,No,2,Oct 25 2018,May 28 2020,0,,,,
Anne Arundel,98524,Center,Calvary Center,Annapolis,21401,Yes,2,Yes,2,Yes,3,Oct 25 2018,Feb 22 2020,0,,,,
Baltimore,98399,Registered Family Home,Cheryl Tazewell,Baltimore,21222,Yes,2,Yes,2,Yes,2,Oct 25 2018,Sep 19 2020,0,,,,
Allegany,98311,Registered Family Home,Gwendolyn Miller,Frostburg,21532,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 06 2020,0,,,,
Baltimore,98305,Center,Annie's Ark,Baltimore,21222,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 05 2020,0,,,,
Prince George's,98127,Registered Family Home,Felicia Ferrell,Upper Marlboro,20772,Yes,1,Yes,1,No,2,Nov 28 2018,Nov 24 2020,0,,,,
Prince George's,98121,Registered Family Home,Lisa Garnier,Hyattsville,20782,Yes,1,Yes,1,No,2,Dec 11 2018,Nov 18 2020,0,,,,
Baltimore City,98101,Registered Family Home,Fay Butler,Baltimore,21222,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 07 2020,0,,,,
Baltimore,98084,Registered Family Home,Tanya Blackmon,Baltimore,21207,Yes,3,Yes,3,No,2,Jan 04 2019,Aug 30 2020,0,,,,
Caroline,98079,Registered Family Home,Tammy Taylor,Ridgely,21660,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 12 2020,0,,,,
Anne Arundel,255666,Registered Family Home,LaSonia Baden,Glen Burnie,21061,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 06 2020,0,,,,
Worcester,97420,Registered Family Home,Paula Denise Mills,Berlin,21811,Yes,1,Yes,1,Yes,2,Oct 25 2018,Dec 12 2020,0,,Quality Business Practices,,
Carroll,97356,Registered Family Home,Karen Betcher,Eldersburg,21784,Yes,3,Yes,3,No,2,Dec 14 2018,Nov 03 2020,0,,,,
Baltimore,97334,Registered Family Home,Renee Savage,Baltimore,21207,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 16 2020,0,,,,
Carroll,97135,Center,Celebree Learning Center - Eldersburg,Eldersburg,21784,Yes,3,Yes,3,No,3,Oct 25 2018,Jul 07 2020,0,,,,
Prince George's,96967,Registered Family Home,Gloria Wilson,Landover,20785,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 23 2020,0,,,,
Baltimore City,96926,Registered Family Home,Mattie Biggers-Rigsby,Baltimore,21206,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 29 2020,0,,,,
Baltimore City,96755,Registered Family Home,Chantell Hudson,Baltimore,21230,Yes,2,Yes,2,No,2,Dec 14 2018,Oct 24 2020,3,Sep 03 2019,,,
Baltimore,96739,Registered Family Home,Denise Angles,Ellicott City,21043,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 15 2020,0,,,,
Anne Arundel,96585,Registered Family Home,Darlene Carroll,Annapolis,21401,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 16 2020,0,,,,
Washington,96339,Registered Family Home,Daphne Hart,Hagerstown,21740,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 19 2020,0,,,,
Prince George's,96302,Registered Family Home,Ann Stewart,Clinton,20735,Yes,1,Yes,1,No,2,Jan 02 2019,Dec 12 2020,0,,,,
Prince George's,96299,Registered Family Home,Jacqueline Thompson,Glenarden,20706,Yes,1,Yes,1,No,2,Jan 10 2019,Nov 13 2020,0,,,,
Prince George's,96297,Registered Family Home,Catherine Garner,Mount Rainier,20712,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 25 2020,0,,,,
Baltimore,96245,Registered Family Home,Franzine Jones,Baltimore,21208,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 25 2020,0,,,,
Washington,96102,Registered Family Home,Janet Rhinecker,Boonsboro,21713,Yes,0,No,,No,,,Nov 13 2013,0,,,,
Prince George's,95865,Registered Family Home,Serena Queen,Fort Washington,20744,Yes,2,Yes,2,Yes,2,Oct 25 2018,Jun 05 2020,0,,,,
Baltimore City,95836,Registered Family Home,Claudette Hines,Baltimore,21229,Yes,1,Yes,1,No,2,Dec 11 2018,Oct 20 2020,0,,,,
Harford,95665,Registered Family Home,Dawn Postowski,Edgewood,21040,Yes,1,Yes,1,No,2,Nov 28 2018,Oct 17 2020,0,,,,
Baltimore City,95655,Registered Family Home,Donna Chiarella,Baltimore,21206,Yes,3,Yes,3,No,2,Oct 25 2018,Jul 26 2020,0,,,,
Baltimore City,95608,Registered Family Home,Lauren Corn,Baltimore,21217,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 18 2020,0,,,,
Baltimore City,95492,Registered Family Home,Antoinette Douglas,Baltimore,21229,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 30 2020,0,,,,
Caroline,95484,Registered Family Home,Sandra Wilson,Preston,21655,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 16 2020,0,,,,
Montgomery,95239,Registered Family Home,Sherry Jones,Burtonsville,20866,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 31 2020,0,,,,
Montgomery,95222,Center,Reginald S. Lourie Center for Infants and Young Children,Rockville,20852,Yes,5,Yes,5,Yes,3,Nov 29 2018,Nov 19 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,94952,Center,Super Kids Place Incorporated @ Belvedere ES,Arnold,21012,Yes,1,Yes,1,No,1,Dec 11 2018,Dec 02 2020,0,,,,
Wicomico,94842,Center,King's Kids Academy,Salisbury,21804,Yes,5,Yes,5,Yes,3,Dec 04 2018,Sep 05 2020,0,,,,
Prince George's,94799,Registered Family Home,Cherrell Newman,Lanham,20706,Yes,1,Yes,1,No,2,Dec 05 2018,Dec 01 2020,0,,,,
Anne Arundel,94323,Center,St. Margaret's Day School Ext.,Annapolis,21409,Yes,5,Yes,5,Yes,3,Feb 25 2019,Feb 29 2020,0,,Health and Wellness  | Eco-Friendly Program  | Accredited Program,,National Association for the Education of Young Children (NAEYC)
Montgomery,94266,Center,Kids After Hours at Rockview,Kensington,20895,Yes,0,Yes,3,No,1,Dec 01 2018,Oct 24 2020,0,,,,
Anne Arundel,94211,Registered Family Home,Reita Turro,Millersville,21108,Yes,4,Yes,4,Yes,2,Nov 28 2018,Sep 26 2020,0,,Health and Wellness  | Accredited Program 2020-12-15,National Association for Family Child Care (NAFCC) 2020-12-15,NAFCC
Prince George's,93799,Registered Family Home,Barbara Glenn,Lanham,20706,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 03 2020,0,,,,
Baltimore City,93548,Registered Family Home,Nicole Whittaker,Baltimore,21230,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 25 2020,0,,,,
Baltimore City,93547,Registered Family Home,Avis Burke,Baltimore,21217,Yes,1,Yes,1,Yes,2,Oct 25 2018,Feb 08 2020,0,,,,
Baltimore City,93528,Registered Family Home,Robbin Taylor,Baltimore,21239,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 01 2020,0,,,,
Prince George's,93480,Registered Family Home,Lenneth Baptist-Turner,Fort Washington,20744,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 27 2020,0,,,,
Harford,93345,Registered Family Home,Deborah Lam,Bel Air,21015,Yes,2,Yes,2,Yes,2,Oct 25 2018,Aug 14 2020,0,,,,
Calvert,93286,Registered Family Home,Kimberly Beyer,Owings,20736,Yes,1,Yes,1,Yes,2,Oct 25 2018,Dec 18 2020,0,,,,
Baltimore,255943,Registered Family Home,Lesia Partlow-Holmes,Baltimore,21227,Yes,1,Yes,1,No,2,Jul 26 2019,Nov 21 2020,0,,,,
Charles,92979,Registered Family Home,Wendy Dingus,Bel Alton,20611,Yes,2,Yes,2,No,2,Dec 17 2018,Apr 23 2020,0,,,,
Baltimore,92942,Registered Family Home,Cassandra Steward,Baltimore,21227,Yes,1,Yes,1,Yes,2,Dec 17 2018,Dec 03 2020,0,,,,
Harford,92770,Registered Family Home,Lila Lockes,Edgewood,21040,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 17 2020,0,,,,
Montgomery,92718,Center,KinderCare-000318,Germantown,20876,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 01 2020,1,Aug 04 2019,,National Association for the Education of Young Children (NAEYC) 2022-08-01,National Association for the Education of Young Children (NAEYC)
Baltimore City,92371,Registered Family Home,Vernita Peters,Baltimore,21214,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 01 2020,0,,,,
Washington,92249,Registered Family Home,Brenda Mackereth,Hagerstown,21740,Yes,3,Yes,3,Yes,2,Apr 25 2019,Sep 26 2020,0,,,,
Baltimore,91931,Center,YMCA of Central Maryland Highland Village Head Start Center,Baltimore,21227,Yes,4,Yes,4,Yes,3,Nov 30 2018,Aug 18 2020,0,,,,MSDE
Baltimore,91930,Center,YMCA Campfield Head Start,Baltimore,21207,Yes,5,Yes,5,Yes,3,Mar 05 2019,Mar 17 2020,0,,,,MSDE
Anne Arundel,91871,Center,Georgetown East ES CCP,Annapolis,21403,Yes,1,Yes,1,No,1,Oct 25 2018,Sep 12 2020,0,,,,
Calvert,91698,Center,Dowell Elementary School Before and After School Program,Lusby,20657,Yes,2,Yes,2,No,1,Dec 11 2018,Dec 05 2020,0,,,,
Baltimore,91654,Registered Family Home,Lucinda Witherspoon,Baltimore,21228,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 12 2020,0,,,,
Anne Arundel,91647,Center,Open Door @ Ridgeway ES,Severn,21144,Yes,0,Yes,1,Yes,1,Oct 25 2018,Sep 03 2020,0,,,,
Anne Arundel,91646,Center,Open Door @ Riviera Beach ES,Pasadena,21122,Yes,0,Yes,1,Yes,1,Oct 25 2018,Sep 03 2020,0,,,,
Anne Arundel,91641,Center,Open Door @ Ft Smallwood ES,Pasadena,21122,Yes,0,Yes,1,Yes,1,Oct 25 2018,Sep 03 2020,0,,,,
Anne Arundel,91632,Center,Super Kids Place Incorporated @ Jones ES,Severna Park,21146,Yes,1,Yes,1,No,1,Dec 11 2018,Dec 02 2020,0,,,,
Montgomery,91604,Center,Bar T at Watkins Mill Elementary School,Montgomery Village,20886,Yes,3,Yes,3,Yes,1,Oct 25 2018,Apr 08 2020,0,,,,
Montgomery,91586,Center,Bar-T at Diamond Elementary,Gaithersburg,20878,Yes,1,Yes,1,No,1,Oct 25 2018,Apr 11 2020,0,,,,
Prince George's,91434,Registered Family Home,Mary Young,Bowie,20715,Yes,5,Yes,5,Yes,2,Oct 25 2018,Jun 02 2020,0,,Asthma-Friendly Program  | Health and Wellness  | Quality Business Practices  | Accredited Program,,NAFCC
Baltimore City,91298,Registered Family Home,Virginia Peoples,Baltimore,21234,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 29 2020,0,,,,
Montgomery,91187,Center,Small Wonders Child Care,Silver Spring,20904,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 25 2020,0,,,,
Montgomery,91183,Center,One World Learning Center,Silver Spring,20904,Yes,3,Yes,3,No,3,Oct 25 2018,Apr 19 2020,0,,,,
Carroll,91157,Center,YMCA SACC Cranberry Station,Westminster,21157,Yes,1,Yes,1,Yes,1,Oct 25 2018,Apr 15 2020,0,,,,
Calvert,91113,Registered Family Home,Alice Hawkins,Prince Frederick,20678,Yes,1,Yes,1,No,2,Dec 07 2018,Nov 27 2020,0,,,,
Prince George's,91108,Center,Firm Foundation CEC,Temple Hills,20748,Yes,3,Yes,3,No,3,Dec 11 2018,Dec 02 2020,0,,,,
Anne Arundel,90798,Registered Family Home,Maxine Mebane,Annapolis,21401,Yes,1,Yes,1,Yes,2,Oct 25 2018,Feb 22 2020,0,,,,
Prince George's,90754,Registered Family Home,Doreatha Hayes,Bowie,20721,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 04 2020,0,,,,
Saint Mary's,90708,Registered Family Home,Sonia Vaznaian,Great Mills,20634,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 29 2020,4,Nov 25 2019,,,
Prince George's,90627,Registered Family Home,Brenda Brown,Hyattsville,20784,Yes,1,Yes,1,No,2,Oct 25 2018,Jun 02 2020,0,,,,
Baltimore City,90454,Registered Family Home,Shirley Roberson,Baltimore,21229,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 18 2020,0,,,,
Baltimore,90295,Registered Family Home,Vanessa McClain,Baltimore,21244,Yes,1,Yes,1,Yes,2,Jan 05 2019,Nov 26 2020,0,,,,
Baltimore,90193,Registered Family Home,Doris Lyons,Baltimore,21222,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 11 2020,0,,,,
Frederick,89771,Registered Family Home,Ronda Ecker,Frederick,21703,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 09 2020,0,,,,
Montgomery,89769,Registered Family Home,Lisa Lewis,Silver Spring,20906,Yes,1,Yes,1,Yes,2,Oct 25 2018,Feb 25 2020,0,,,,
Wicomico,89738,Registered Family Home,Wanda Jones,Salisbury,21804,Yes,3,Yes,3,No,2,Oct 25 2018,Feb 25 2020,0,,,,
Baltimore City,89699,Registered Family Home,Linda Stewart,Baltimore,21223,Yes,1,Yes,1,No,2,Dec 14 2018,Dec 03 2020,0,,,,
Montgomery,89579,Center,Kids After Hours at Westover,Silver Spring,20904,Yes,0,Yes,3,No,1,Dec 04 2018,Oct 25 2020,0,,,,
Howard,89542,Center,Cradlerock Elementary  SAS,Columbia,21045,Yes,2,Yes,2,No,1,Oct 25 2018,Mar 06 2020,0,,,,
Prince George's,89428,Center,Happy Family Day Care,Adelphi,20783,Yes,3,Yes,1,Yes,3,Dec 11 2018,Dec 12 2020,0,,Health and Wellness,,
Allegany,89390,Registered Family Home,Debra Kinser,Cumberland,21502,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 11 2020,0,,,,
Baltimore,89282,Registered Family Home,Deniece Cooper,Reisterstown,21136,Yes,1,Yes,1,Yes,2,Oct 25 2018,Feb 27 2020,0,,,,
Calvert,89278,Center,Mount Harmony Learning Center,Owings,20736,Yes,1,Yes,1,No,3,Dec 11 2018,Dec 05 2020,0,,,,
Washington,89063,Registered Family Home,Carrie Kline,Smithsburg,21783,Yes,3,Yes,3,Yes,2,Oct 25 2018,Jun 26 2020,5,May 20 2019,,,
Montgomery,89002,Center,Potomac Valley Academy Assembly of God,Germantown,20876,Yes,3,Yes,3,Yes,3,Dec 18 2018,Dec 17 2020,0,,,,
Baltimore,88971,Center,Caterpillars Development Center,Baltimore,21229,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 11 2020,0,,,,
Prince George's,88790,Registered Family Home,Cecelia Curtis,Lanham,20706,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 14 2020,0,,,,
Washington,88731,Center,Good Shepherd Preschool,Hancock,21750,Yes,3,Yes,3,Yes,3,Oct 25 2018,Sep 19 2020,0,,Health and Wellness  | Eco-Friendly Program  | Asthma-Friendly Program,,
Dorchester,88583,Registered Family Home,Diana Cephas,Cambridge,21613,Yes,3,Yes,3,No,2,Jan 07 2019,Dec 15 2020,0,,,,
Anne Arundel,88294,Center,Learning Tree Child Development Center of Annapolis,Annapolis,21401,Yes,5,Yes,5,Yes,3,Oct 25 2018,Aug 08 2020,0,,Accredited Program,,National Association for the Education of Young Children (NAEYC)
Wicomico,88220,Center,Christian Community Child Care Center,Salisbury,21804,Yes,3,Yes,3,No,3,Oct 25 2018,Sep 03 2020,0,,,,
Baltimore City,88202,Registered Family Home,Margaret Eley,Baltimore,21214,Yes,3,Yes,3,Yes,2,Nov 30 2018,Nov 05 2020,0,,,,
Baltimore City,88021,Registered Family Home,Vernice Kee-Davis,Baltimore,21229,Yes,5,Yes,5,Yes,2,Nov 30 2018,Oct 02 2020,0,,Accredited Program,,NAFCC
Prince George's,88017,Center,Kettering/Largo Community Center,Upper Marlboro,20774,Yes,1,Yes,1,No,3,Oct 25 2018,Apr 15 2020,0,,,,
Queen Anne's,87851,Registered Family Home,Colleen Moore,Chester,21619,Yes,5,Yes,5,Yes,2,Oct 25 2018,Apr 23 2020,0,,Accredited Program 2022-01-05,,NAFCC
Prince George's,87628,Center,Young Achievers Early Learning Center,Hyattsville,20784,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 21 2020,0,,,,
Baltimore,87616,Registered Family Home,Tina Spraker,Baltimore,21220,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 28 2020,0,,,,
Baltimore,87587,Center,All About Care Child Care Center,Randallstown,21133,Yes,2,Yes,2,No,3,Oct 25 2018,Aug 25 2020,0,,,,
Montgomery,87182,Registered Family Home,Effat Hormozi,Germantown,20874,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 13 2020,0,,,,
Frederick,87104,Registered Family Home,Betty Sanders,Frederick,21702,Yes,1,Yes,1,No,2,Dec 11 2018,Nov 12 2020,0,,,,
Worcester,86702,Center,Friends Forever Learning Center,Berlin,21811,Yes,0,Yes,3,Yes,3,Oct 25 2018,Aug 05 2020,0,,Quality Business Practices,,MSDE
Baltimore City,86362,Registered Family Home,Dorothy Foster,Baltimore,21215,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 19 2020,0,,,,
Frederick,86351,Registered Family Home,Gustina Houser,Frederick,21703,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 07 2020,0,,,,
Prince George's,85872,Center,Walden Woods BASCP,Clinton,20735,Yes,2,Yes,2,No,1,Oct 25 2018,Jan 02 2020,0,,,,
Anne Arundel,85850,Center, Galilee Lutheran Preschool,Pasadena,21122,Yes,1,Yes,1,No,3,Oct 25 2018,Sep 29 2020,0,,,,
Washington,85477,Registered Family Home,Karen Burgan,Smithsburg,21783,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 08 2020,0,,,,
Baltimore City,85394,Registered Family Home,Yolanda Holland,Baltimore,21239,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 07 2020,1,Mar 07 2019,,,
Baltimore,85297,Registered Family Home,Matilda Webb,Baltimore,21222,Yes,2,Yes,2,Yes,2,Oct 25 2018,May 21 2020,0,,,,
Baltimore City,85116,Registered Family Home,Sharon Johnson-Stewart,Baltimore,21218,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 06 2020,0,,,,
Anne Arundel,85080,Center,KinderCare 301543,Laurel,20724,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 04 2020,0,,,National Association for the Education of Young Children (NAEYC) 2023-12-01,National Association for the Education of Young Children (NAEYC)
Carroll,84940,Center,Celebree Learning Center-Westminster,Westminster,21158,Yes,5,Yes,5,No,3,Aug 06 2019,Sep 18 2020,0,,,,
Carroll,84939,Center,Celebree Learning Centers- Mt Airy,Mount Airy,21771,Yes,5,Yes,5,Yes,3,Oct 25 2018,Aug 06 2020,0,,Accredited Program,,MSDE
Montgomery,84899,Registered Family Home,Marie Ganthier,Rockville,20853,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 14 2020,0,,,,
Prince George's,84810,Center,Apple Core Child Care Inc.,Forestville,20747,Yes,1,Yes,1,Yes,3,Oct 25 2018,Apr 24 2020,0,,,,
Baltimore City,84425,Registered Family Home,Shelly Mosley,Baltimore,21212,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 11 2020,0,,,,
Baltimore,84357,Registered Family Home,Viola McCall,Baltimore,21234,Yes,3,Yes,3,Yes,2,Feb 22 2019,Sep 29 2020,1,Aug 07 2019,,,
Baltimore City,84277,Registered Family Home,Celeste Joyner,Baltimore,21218,Yes,5,Yes,5,Yes,2,Oct 25 2018,Apr 07 2020,0,,Quality Business Practices  | Cultural and Linguistic Competency  | Health and Wellness  | Asthma-Friendly Program  | Eco-Friendly Program,,NAFCC
Baltimore,84089,Center,Play Centers at Sparks Elementary School,Sparks,21152,Yes,3,Yes,3,No,1,Oct 25 2018,Feb 25 2020,0,,,,
Baltimore City,83967,Registered Family Home,Osie Hursey,Baltimore,21213,Yes,2,Yes,2,Yes,2,Oct 25 2018,Feb 08 2020,1,May 04 2019,,,
Baltimore City,83520,Registered Family Home,Carole Lee,Baltimore,21213,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 29 2020,0,,,,
Baltimore City,83519,Registered Family Home,Deborah Chase,Baltimore,21229,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 14 2020,0,,,,
Saint Mary's,83370,Registered Family Home,Sharon Hamlet,Great Mills,20634,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 29 2020,0,,,,
Saint Mary's,82998,Center,Baby Talk Too,Great Mills,20634,Yes,3,Yes,3,No,3,Nov 28 2018,Oct 16 2020,0,,,,
Prince George's,82946,Center,College Park Community Center,College Park,20740,Yes,1,Yes,1,No,1,Oct 25 2018,Mar 17 2020,0,,,,
Cecil,82475,Center,Jesus Loves Me Daycare,North East,21901,Yes,1,Yes,1,No,3,Oct 25 2018,Jul 01 2020,0,,,,
Baltimore City,82466,Registered Family Home,Olivia Pugh,Baltimore,21214,Yes,3,Yes,3,Yes,2,Oct 25 2018,Sep 25 2020,0,,,,
Frederick,82384,Center,Myersville Elementary Before and After School Enrichment,Myersville,21773,Yes,1,Yes,1,Yes,1,Oct 25 2018,Sep 02 2020,1,Aug 26 2019,,,
Frederick,82375,Center,Whittier Elementary Before and After School Enrichment,Frederick,21702,Yes,2,Yes,1,Yes,1,Oct 25 2018,Sep 10 2020,0,,,,
Wicomico,82301,Registered Family Home,Gloria Smith,Salisbury,21801,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 10 2020,0,,,,
Baltimore City,82076,Registered Family Home,Shiree Cherry - Barnes,Baltimore,21207,Yes,1,Yes,1,Yes,2,Oct 25 2018,Apr 07 2020,0,,,,
Anne Arundel,82017,Center,St Andrew  by the Bay Preschool,Annapolis,21401,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 13 2020,0,,,,
Frederick,81793,Center,Valley Elementary Before and After School Enrichment,Jefferson,21755,Yes,1,Yes,1,Yes,1,Oct 25 2018,Feb 22 2020,0,,,,
Prince George's,81671,Center,Al Huda Preschool,College Park,20740,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jan 23 2020,0,,,,
Baltimore City,81544,Registered Family Home,Belinda Fitzhugh,Baltimore,21229,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 01 2020,0,,,,
Washington,81532,Center,Hagerstown Community College Children's Learn Center,Hagerstown,21742,Yes,5,Yes,5,Yes,3,Oct 25 2018,May 20 2020,0,,Accredited Program,,National Association for the Education of Young Children (NAEYC)
Cecil,81499,Registered Family Home,Cynthia Edwards,North East,21901,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 05 2020,0,,,,NAFCC
Montgomery,81491,Center,The Children in the Shoe E-W Towers,Bethesda,20814,Yes,3,Yes,3,Yes,3,Jan 25 2019,Dec 19 2020,0,,Accredited Program,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,81469,Center,YMCA at Rippling Woods ES,Glen Burnie,21061,Yes,1,Yes,1,Yes,1,Oct 25 2018,Mar 11 2020,0,,,,
Anne Arundel,81468,Center,Cape Saint Claire Elementary School Age Child Care,Annapolis,21409,Yes,3,Yes,3,Yes,1,Oct 25 2018,Mar 09 2020,0,,Health and Wellness  | Asthma-Friendly Program,,
Anne Arundel,81458,Center,Crofton Middle School Teen Group,Crofton,21114,Yes,3,Yes,3,Yes,1,Oct 25 2018,Mar 09 2020,0,,Asthma-Friendly Program  | Health and Wellness,,
Howard,81409,Center,Glenwood Country Day School,Woodbine,21797,Yes,5,Yes,5,Yes,3,Oct 25 2018,Apr 30 2020,0,,Accredited Program 2020-06-30,Maryland Accreditation (MSDE) 2020-06-30,MSDE
Harford,81339,Center,Celebree Learning Center - Laurel Bush,Bel Air,21015,Yes,4,Yes,1,Yes,3,Oct 25 2018,Apr 15 2020,0,,Accredited Program,,MSDE
Baltimore,81330,Center,Play Centers at Stoneleigh Elementary School,Baltimore,21212,Yes,3,Yes,3,No,1,Oct 25 2018,Mar 17 2020,0,,,,
Prince George's,81282,Center,Diane's Day Care,Capitol Heights,20743,Yes,1,Yes,1,Yes,3,Dec 05 2018,Dec 16 2020,3,Dec 15 2019,,,
Washington,81246,Registered Family Home,Linda Nokes,Williamsport,21795,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 11 2020,0,,,,
Allegany,81244,Registered Family Home,Tiffany Crowe,Cresaptown,21502,Yes,1,Yes,1,No,2,Jan 10 2019,Dec 19 2020,0,,,,
Howard,81220,Center,Joy in Learning Preschool,Columbia,21045,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 07 2020,0,,,,
Prince George's,80947,Center,Maree's Early Learning Center,Temple Hills,20748,Yes,1,Yes,1,No,3,Oct 25 2018,Jan 22 2020,0,,,,
Saint Mary's,80849,Registered Family Home,Barbara Spitzer,Mechanicsville,20659,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 21 2020,0,,,,
Frederick,80496,Center,KinderCare-000882,Frederick,21703,Yes,1,Yes,1,Yes,3,Oct 25 2018,May 03 2020,0,,Accredited Program 2020-05-01,National Association for the Education of Young Children (NAEYC) 2020-05-01,
Prince George's,80340,Center,Little Stuffie's II,Landover,20785,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 16 2020,0,,,,
Cecil,80331,Registered Family Home,Diane Shortall,Elkton,21921,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 02 2020,0,,,,
Prince George's,80243,Registered Family Home,Meena Gaafar,Lanham,20706,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 14 2020,0,,,,
Baltimore,80214,Registered Family Home,Frances Johnson,Randallstown,21133,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 04 2020,0,,,,
Baltimore City,80124,Registered Family Home,Carolyn Miller,Baltimore,21217,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 24 2020,1,Jun 06 2019,,,
Montgomery,80103,Registered Family Home,Maria Artola,Rockville,20852,Yes,5,Yes,5,Yes,2,Oct 25 2018,May 20 2020,0,,Asthma-Friendly Program  | Health and Wellness  | Quality Business Practices  | Accredited Program,,NAFCC
Prince George's,80077,Registered Family Home,Brenda Hawkins,Upper Marlboro,20774,Yes,2,Yes,2,No,2,Oct 25 2018,Feb 08 2020,0,,,,
Allegany,80016,Center,YMCA School Age Child Care Center,Cumberland,21502,Yes,0,Yes,1,Yes,1,Oct 25 2018,Sep 11 2020,0,,,,
Allegany,79882,Center,Lighthouse Christian Daycare,Cumberland,21502,Yes,1,Yes,1,No,3,Oct 25 2018,Feb 22 2020,0,,,,
Baltimore,79794,Center,Play and Learn at Hunt Valley,Hunt Valley,21031,Yes,3,Yes,3,No,3,Dec 19 2018,Dec 15 2020,2,Oct 30 2018,,,
Montgomery,79723,Registered Family Home,Claudia Mikeliunas,Silver Spring,20902,Yes,5,Yes,5,Yes,2,Nov 30 2018,Nov 11 2020,0,,Accredited Program,,NAFCC
Prince George's,79662,Registered Family Home,Jamelle Martin,Clinton,20735,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 31 2020,0,,,,
Baltimore,79551,Center,Creative Kids Child Care Center,Baltimore,21227,Yes,1,Yes,1,Yes,3,Oct 25 2018,Sep 30 2020,0,,,,
