County,License Number,MSDE Program Type,Program Name,City Name,State Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Harford,32246,Center,YMCA at Homestead-Wakefield,Bel Air,Maryland,21014,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Harford,32240,Center,Trinity Lutheran Christian School and Early Learning Center,Joppa,Maryland,21085,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 14 2020,0,,,,
Harford,32227,Center,Salem Lutheran Children's Center,Jarrettsville,Maryland,21084,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 28 2020,0,,,,
Harford,32213,Center,Bethel Day Care,Havre De Grace,Maryland,21078,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 29 2020,0,,,,
Harford,32211,Center,KinderCare-300834,Abingdon,Maryland,21009,Yes,3,Yes,3,Yes,3,Oct 25 2018,Apr 25 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Harford,32210,Center,Churchville Presbyterian Nursery & Day Care,Churchville,Maryland,21028,Yes,1,Yes,1,No,3,Dec 05 2018,Dec 04 2020,1,Nov 05 2019,,,
Harford,32209,Center,KinderCare-301351,Edgewood,Maryland,21040,Yes,5,Yes,5,Yes,3,Oct 25 2018,May 01 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Harford,32184,Center,YMCA at Abingdon Elementary School,Abingdon,Maryland,21009,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Harford,32177,Center,YMCA at North Bend Elementary School,Jarrettsville,Maryland,21084,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Harford,32174,Center,YMCA at Ring Factory Elementary School,Bel Air,Maryland,21014,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Harford,32172,Center,YMCA at Riverside Elementary School,Joppa,Maryland,21085,Yes,2,Yes,2,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Harford,32169,Center,First Presbyterian Preschool,Bel Air,Maryland,21014,Yes,1,Yes,1,No,3,Jan 02 2019,Dec 08 2020,0,,,,
Harford,32168,Center,Good Shepherd Children's Center,Joppa,Maryland,21085,Yes,3,Yes,3,No,3,Oct 18 2019,Nov 21 2020,0,,,,
Cecil,32161,Center,West Nottingham Presbyterian Church Child Care and Early Learning Program,Colora,Maryland,21917,Yes,1,Yes,1,No,3,Oct 25 2018,Feb 29 2020,0,,,,
Cecil,32154,Center,Nazarene Day Care Center,Colora,Maryland,21917,Yes,1,Yes,2,No,3,Oct 25 2018,May 21 2020,0,,,,
Harford,32146,Center,Stonewall Day Care Center II,Fallston,Maryland,21047,Yes,1,Yes,1,No,3,Dec 07 2018,Nov 06 2020,0,,,,
Prince George's,32139,Center,KinderCare - 000268,Fort Washington,Maryland,20744,Yes,3,Yes,3,Yes,3,Dec 19 2018,Oct 24 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Prince George's,32135,Center,Central Child Development,Capitol Heights,Maryland,20743,Yes,1,Yes,1,No,3,Oct 25 2018,Oct 07 2020,0,,,,
Harford,32113,Center,Stonewall Day Care Center I,Fallston,Maryland,21047,Yes,1,Yes,1,No,3,Dec 11 2018,Nov 05 2020,0,,,,
Cecil,32105,Center,Kiddie Academy of Elkton,Elkton,Maryland,21921,Yes,3,Yes,3,Yes,3,Jan 07 2019,Dec 05 2020,0,,Asthma-Friendly Program  | Health and Wellness,,
Charles,32095,Center,Little Angels Learning Center,La Plata,Maryland,20646,Yes,3,Yes,3,No,3,Oct 25 2018,Oct 10 2020,2,Nov 27 2018,,,
Charles,32091,Center,La Petite,Waldorf,Maryland,20602,Yes,1,Yes,1,Yes,3,Oct 25 2018,Feb 05 2020,0,,,,
Charles,32002,Center,KinderCare-301229,Waldorf,Maryland,20603,Yes,3,Yes,3,Yes,3,Dec 19 2018,Nov 20 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Baltimore City,31994,Registered Family Home,Miriam Garner,Baltimore,Maryland,21216,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 15 2020,0,,,,
Frederick,31716,Center,Learning Tree Before & After School Program,Brunswick,Maryland,21716,Yes,3,Yes,3,Yes,1,Oct 25 2018,May 29 2020,0,,,,
Frederick,31712,Registered Family Home,Donna Fogle,Walkersville,Maryland,21793,Yes,2,Yes,2,Yes,2,Apr 17 2019,May 21 2020,0,,,,
Frederick,31704,Center,La Petite - Old Farm,Frederick,Maryland,21702,Yes,3,Yes,3,Yes,3,May 16 2019,Sep 26 2020,0,,,,NECPA
Frederick,31691,Center,La Petite Child Care Center,Frederick,Maryland,21703,Yes,1,Yes,1,Yes,3,Apr 04 2019,Dec 19 2020,0,,,,NECPA
Frederick,31682,Center,New Market School Age Center,New Market,Maryland,21774,Yes,2,Yes,2,Yes,1,Oct 25 2018,Feb 22 2020,0,,,,
Frederick,31681,Center,Middletown Stepping Stone School Age Center,Middletown,Maryland,21769,Yes,2,Yes,2,Yes,1,Oct 25 2018,Feb 22 2020,0,,,,
Frederick,31680,Registered Family Home,Melinda Sharitz,Thurmont,Maryland,21788,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 27 2020,0,,,,
Frederick,31678,Center,KinderCare-301156,Frederick,Maryland,21702,Yes,3,Yes,3,Yes,3,Oct 25 2018,Jun 03 2020,0,,,National Association for the Education of Young Children (NAEYC) 2023-01-01,National Association for the Education of Young Children (NAEYC)
Frederick,31641,Center,Frederick County YMCA Early Learning Center,Frederick,Maryland,21701,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 17 2020,1,Mar 14 2019,,,MSDE
Frederick,31639,Center,Children's World ELC of Walkersville,Walkersville,Maryland,21793,Yes,3,Yes,3,No,3,May 31 2019,Nov 19 2020,0,,,,
Frederick,31634,Center,KinderCare-300331,Frederick,Maryland,21702,Yes,3,Yes,3,Yes,3,Oct 25 2018,May 07 2020,0,,Accredited Program,,National Association for the Education of Young Children (NAEYC)
Frederick,31632,Center,Waverley Elementary Before and After School Enrichment,Frederick,Maryland,21702,Yes,0,Yes,1,Yes,1,Dec 11 2018,Dec 08 2020,0,,,,
Frederick,31629,Center,Monocacy Elementary Before and After School Enrichment,Frederick,Maryland,21702,Yes,1,Yes,1,Yes,1,Oct 25 2018,Sep 10 2020,0,,,,
Frederick,31628,Center,Children's World Early Learning Center of Frederick,Frederick,Maryland,21701,Yes,3,Yes,3,Yes,3,Oct 25 2018,May 28 2020,0,,,,
Frederick,31612,Center,Twin Ridge Elementary Before and After School Enrichment,Mount Airy,Maryland,21771,Yes,0,Yes,2,Yes,1,Oct 25 2018,Sep 09 2020,0,,,,
Frederick,31611,Center,Yellow Springs Elementary Before and After School Enrichment,Frederick,Maryland,21702,Yes,0,Yes,1,No,1,Dec 12 2018,Dec 05 2020,0,,,,
Frederick,31585,Center,Ballenger Creek Elementary Before and After School Enrichment,Frederick,Maryland,21703,Yes,0,Yes,1,Yes,1,Oct 25 2018,Sep 05 2020,0,,,,
Montgomery,31491,Center,MCCA Greenwood,Brookeville,Maryland,20833,Yes,0,Yes,1,Yes,1,Jan 05 2019,Dec 12 2020,0,,,,
Montgomery,31478,Center,KinderCare-301082,Olney,Maryland,20832,Yes,3,Yes,3,Yes,3,Oct 25 2018,Aug 18 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Howard,31464,Center,KinderCare 073274,Columbia,Maryland,21046,Yes,3,Yes,3,Yes,3,Oct 25 2018,Aug 19 2020,0,,,National Association for the Education of Young Children (NAEYC) 2023-08-01,National Association for the Education of Young Children (NAEYC)
Montgomery,31450,Center,MCCA Brooke Grove,Olney,Maryland,20832,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 10 2020,0,,,,MSDE
Montgomery,31448,Center,"Maryland Child Services , Inc - Sherwood Child Center",Sandy Spring,Maryland,20860,Yes,0,Yes,3,Yes,3,Oct 25 2018,Jul 26 2020,0,,,,MSDE
Charles,255305,Center,Jelly Beans Early Learning Center,La Plata,Maryland,20646,Yes,3,Yes,3,No,3,Oct 25 2018,Sep 12 2020,0,,,,
Worcester,31422,Center,Snow Hill Christian Nursery School,Snow Hill,Maryland,21863,Yes,5,Yes,5,Yes,3,Oct 25 2018,Aug 09 2020,0,,Health and Wellness  | Accredited Program,,MSDE
Worcester,31420,Center,Snow Hill Child Development Center,Newark,Maryland,21841,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 18 2020,0,,Accredited Program,,MSDE
Worcester,31413,Center,Nelson E. Townsend Child Development  Center,Stockton,Maryland,21864,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 18 2020,0,,,,MSDE
Worcester,31412,Center,Little Lambs Learning Center,Berlin,Maryland,21811,Yes,5,Yes,5,Yes,3,Oct 25 2018,May 16 2020,0,,,,MSDE
Wicomico,31406,Center,Tommy Tucker Nursery II,Parsonsburg,Maryland,21849,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 13 2020,0,,,,
Saint Mary's,31382,Center,Saint Andrews Preschool,California,Maryland,20619,Yes,1,Yes,1,Yes,3,Jan 05 2019,Dec 30 2020,0,,,,
Frederick,31350,Center,Brook Hill Weekday Preschool,Frederick,Maryland,21702,Yes,4,Yes,4,Yes,3,Oct 25 2018,Jan 07 2020,0,,,,MSDE
Talbot,31294,Center,Critchlow Adkins Children's Centers - School Age Site,Easton,Maryland,21601,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 23 2020,0,,,,MSDE
Talbot,31292,Center,Critchlow Adkins Children's Centers - St. Michaels Site,Saint Michaels,Maryland,21663,Yes,5,Yes,5,Yes,3,Oct 25 2018,Jul 11 2020,0,,,,MSDE
Talbot,31291,Center,Critchlow Adkins Children's Centers - Preschool Site,Easton,Maryland,21601,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 19 2020,0,,Accredited Program,,MSDE
Talbot,31061,Center,The Manor Discovery Center,Easton,Maryland,21601,Yes,2,Yes,2,No,3,Jan 07 2019,Dec 19 2020,0,,,,
Montgomery,31013,Center,Bar-T @ Laytonsville Elementary School,Laytonsville,Maryland,20882,Yes,3,Yes,3,Yes,1,Oct 25 2018,Apr 07 2020,0,,,,
Montgomery,31012,Center,Academy Child Development Center @ Charles Drew ES,Silver Spring,Maryland,20905,Yes,5,Yes,5,Yes,1,Oct 25 2018,Aug 08 2020,0,,,,MSDE
Montgomery,31010,Center,Bar-T @ Belmont Elementary School,Olney,Maryland,20832,Yes,2,Yes,2,No,3,Oct 25 2018,Apr 14 2020,0,,,,
Charles,30985,Center,First Baptist Church of Saint Charles Preschool,Waldorf,Maryland,20602,Yes,1,Yes,1,No,3,Oct 25 2018,Apr 07 2020,0,,,,
Charles,30984,Center,Childtime Childrens Center,Waldorf,Maryland,20602,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 21 2020,0,,,,
Worcester,30904,Registered Family Home,Iris Brittingham,Berlin,Maryland,21811,Yes,1,Yes,1,No,2,Dec 11 2018,Oct 29 2020,1,Nov 08 2018,,,
Wicomico,30806,Registered Family Home,Carol Johnson,Fruitland,Maryland,21826,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 18 2020,0,,,,
Wicomico,30678,Registered Family Home,Deborah White,Pittsville,Maryland,21850,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 25 2020,0,,,,
Wicomico,30658,Registered Family Home,Frances McBride,Salisbury,Maryland,21801,Yes,5,Yes,5,No,2,Oct 25 2018,Apr 03 2020,0,,,,
Washington,30500,Registered Family Home,Shelva Shindle,Hagerstown,Maryland,21740,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 07 2020,0,,,,
Washington,30373,Registered Family Home,Michelle Jenkins,Hagerstown,Maryland,21740,Yes,1,Yes,1,Yes,2,Oct 25 2018,Feb 22 2020,0,,,,
Washington,30327,Registered Family Home,Melinda Hamilton,Hagerstown,Maryland,21740,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 01 2020,0,,,,
Washington,30291,Registered Family Home,Rosemary Gaver,Funkstown,Maryland,21734,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 06 2020,0,,,,
Washington,30290,Registered Family Home,Cynthia Kershner,Hagerstown,Maryland,21742,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 24 2020,0,,,,
Washington,30216,Registered Family Home,Debra Henson,Hagerstown,Maryland,21740,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 01 2020,0,,,,
Talbot,30153,Registered Family Home,Janet Diefenderfer,Trappe,Maryland,21673,Yes,3,Yes,3,Yes,2,Oct 25 2018,Sep 11 2020,0,,,,
Talbot,30139,Registered Family Home,Sandra Dulin,Easton,Maryland,21601,Yes,1,Yes,1,No,2,Oct 25 2018,Jun 02 2020,0,,,,
Somerset,30072,Registered Family Home,Linda Taylor,Princess Anne,Maryland,21853,Yes,3,Yes,3,No,2,Oct 25 2018,Aug 27 2020,0,,,,
Somerset,30063,Registered Family Home,Sandra Horsey,Princess Anne,Maryland,21853,Yes,3,Yes,3,No,2,Apr 09 2019,Jun 02 2020,0,,,,
Somerset,30061,Registered Family Home,Corraine Dennis,Princess Anne,Maryland,21853,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 12 2020,0,,,,
Baltimore City,300336,Public Pre-K,Baltimore Montessori Public Charter School,Baltimore,Maryland,21202,Yes,4,Yes,4,Yes,1,Oct 25 2018,Jun 02 2020,0,,,,MSDE
Baltimore City,300234,Public Pre-K,Arlington Elementary/Middle School,Baltimore,Maryland,21215,Yes,5,Yes,5,Yes,1,Jun 14 2019,Aug 14 2020,0,,,,MSDE
Baltimore City,300228,Public Pre-K,John Ruhrah Elementary Middle School,Baltimore,Maryland,21224,Yes,5,Yes,5,Yes,1,Feb 06 2019,Dec 15 2020,0,,,,MSDE
Baltimore City,300207,Public Pre-K,Curtis Bay Elementary/Middle,Baltimore,Maryland,21225,Yes,4,Yes,4,Yes,1,Oct 25 2018,Sep 12 2020,0,,,,MSDE
Baltimore City,300201,Public Pre-K,Dickey Hill Elementary/Middle School,Gwynn Oak,Maryland,21207,Yes,5,Yes,5,Yes,1,Nov 29 2018,Oct 28 2020,0,,,,MSDE
Baltimore City,300122,Public Pre-K,The Historic Samuel Coleridge-Taylor Elementary School,Baltimore,Maryland,21201,Yes,3,Yes,4,Yes,1,Oct 25 2018,Mar 07 2020,0,,,,MSDE
Baltimore City,300105,Public Pre-K,Moravia Judy Center,Baltimore,Maryland,21206,Yes,3,Yes,5,Yes,1,Oct 25 2018,Feb 25 2020,0,,,,MSDE
Baltimore City,300076,Public Pre-K,Francis Scott Key Elementary,Baltimore,Maryland,21230,Yes,5,Yes,5,No,1,Oct 25 2018,Jul 28 2020,0,,,,
Baltimore City,300064,Public Pre-K,Liberty Elementary School,Baltimore,Maryland,21207,Yes,5,Yes,5,Yes,1,Oct 25 2018,Jun 26 2020,0,,,,MSDE
Baltimore City,300061,Public Pre-K,Dorothy I. Height Elementary,Baltimore City,Maryland,21217,Yes,5,Yes,5,Yes,1,Jan 04 2019,Dec 05 2020,0,,,,MSDE
Baltimore City,300058,Public Pre-K,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore,Maryland,21215,Yes,4,Yes,4,Yes,1,Oct 25 2018,Mar 25 2020,0,,,,MSDE
Baltimore City,300037,Public Pre-K,Harford Heights Elementary Middle School,Baltimore,Maryland,21213,Yes,4,Yes,4,Yes,1,Oct 25 2018,Jul 07 2020,0,,,,MSDE
Baltimore City,300029,Public Pre-K,Matthew A. Henson Elementary School,Baltimore,Maryland,21217,Yes,5,Yes,5,Yes,1,Oct 25 2018,Mar 25 2020,0,,,,MSDE
Baltimore City,300027,Public Pre-K,Commodore John Rodgers,Baltimore,Maryland,21231,Yes,5,Yes,5,Yes,1,Oct 25 2018,Aug 21 2020,0,,,,MSDE
Baltimore City,300011,Public Pre-K,Eutaw-Marshburn Elementary School,Baltimore,Maryland,21217,Yes,4,Yes,4,Yes,1,Oct 25 2018,Jul 28 2020,0,,,,MSDE
Baltimore City,300004,Public Pre-K,Steuart Hill Academic Academy,Baltimore,Maryland,21223,Yes,5,Yes,5,Yes,1,Oct 25 2018,Apr 14 2020,0,,,,MSDE
Prince George's,29588,Registered Family Home,Ernestine Bates,Clinton,Maryland,20735,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 17 2020,0,,,,
Prince George's,29503,Registered Family Home,Rajkumarie Parmhans,Lewisdale,Maryland,20783,Yes,1,Yes,1,No,2,Oct 25 2018,May 01 2020,0,,,,
Prince George's,29420,Registered Family Home,Cynthia Warner,Fort Washington,Maryland,20744,Yes,2,Yes,2,No,2,Oct 25 2018,Jan 07 2020,0,,,,
Prince George's,29092,Registered Family Home,Manju Shukla,Greenbelt,Maryland,20770,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 02 2020,0,,,,
Prince George's,28725,Registered Family Home,Claretha Hutton,Largo,Maryland,20774,Yes,5,Yes,5,Yes,2,Oct 25 2018,Mar 17 2020,0,,,,NAFCC
Prince George's,28595,Registered Family Home,Lucille Abney,Upper Marlboro,Maryland,20774,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 28 2020,0,,,,
Baltimore,2838,Registered Family Home,Tammy Gibson,Baltimore,Maryland,21207,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 07 2020,0,,,,
Prince George's,28323,Registered Family Home,Sharon Lucas,Fort Washington,Maryland,20744,Yes,3,Yes,3,Yes,2,Oct 25 2018,May 15 2020,0,,Health and Wellness,,
Prince George's,28273,Registered Family Home,Jonna Kelly,Camp Springs,Maryland,20746,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 20 2020,0,,,,
Prince George's,28245,Registered Family Home,Michele Upshaw,Lanham,Maryland,20706,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 10 2020,0,,,,
Prince George's,28158,Registered Family Home,Gladys Parker,Clinton,Maryland,20735,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 12 2020,1,Sep 17 2019,,,
Prince George's,28103,Registered Family Home,Inez Jackson,Capitol Heights,Maryland,20743,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 12 2020,0,,,,NAFCC
Prince George's,28029,Registered Family Home,Carmencita Jones,Upper Marlboro,Maryland,20774,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 25 2020,0,,,,
Prince George's,27926,Registered Family Home,Bertha Carroll,District Heights,Maryland,20747,Yes,1,Yes,1,No,2,Oct 25 2018,May 02 2020,0,,,,
Prince George's,27836,Registered Family Home,Jessie Hall,Riverdale,Maryland,20737,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 25 2020,0,,,,NAFCC
Montgomery,27570,Registered Family Home,Maria Montenegro,Silver Spring,Maryland,20906,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 03 2020,0,,,,
Montgomery,27319,Registered Family Home,Janeen Baweja,Olney,Maryland,20832,Yes,1,Yes,1,No,2,Dec 17 2018,Nov 25 2020,0,,,,
Montgomery,26948,Registered Family Home,DeLois Lee,Silver Spring,Maryland,20906,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 05 2020,0,,,,
Montgomery,26866,Registered Family Home,Devika Balram,Wheaton,Maryland,20902,Yes,0,Yes,5,Yes,2,Oct 25 2018,Jun 09 2020,0,,,,NAFCC
Montgomery,26633,Registered Family Home,Smita Patel,Germantown,Maryland,20874,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 24 2020,0,,,,
Montgomery,26544,Registered Family Home,Kimberley Grant,Olney,Maryland,20832,Yes,5,Yes,5,No,2,Jun 18 2019,Sep 26 2020,0,,,,
Montgomery,26248,Registered Family Home,Magdalene George,Silver Spring,Maryland,20902,Yes,1,Yes,5,Yes,2,Oct 25 2018,Jun 16 2020,0,,,,NAFCC
Montgomery,26196,Registered Family Home,Heidelinde Parke,Damascus,Maryland,20872,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 29 2020,0,,,,
Montgomery,26096,Registered Family Home,Nadir Lucas,Bethesda,Maryland,20816,Yes,1,Yes,1,No,2,Jan 02 2019,Dec 17 2020,0,,,,
Montgomery,25901,Registered Family Home,Irene Stewart,Rockville,Maryland,20853,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 29 2020,0,,,,
Baltimore,2581,Registered Family Home,Yvonne Ryan,Baltimore,Maryland,21220,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 17 2020,0,,,,
Baltimore City,254795,Registered Family Home,Nicole Bastfield,Baltimore,Maryland,21214,Yes,2,Yes,2,Yes,2,Dec 11 2018,May 29 2020,0,,,,
Wicomico,254794,Registered Family Home,Diahann Sheppard,Salisbury,Maryland,21804,Yes,3,Yes,3,Yes,2,Oct 25 2018,Feb 22 2020,0,,,,
Cecil,254787,Registered Family Home,Angela Baddorf,North East,Maryland,21901,Yes,1,Yes,1,No,2,Dec 10 2018,Apr 23 2020,0,,,,
Allegany,254782,Registered Family Home,Jordyn Johnson,Cumberland,Maryland,21502,Yes,0,No,,No,,,Dec 10 2019,0,,,,
Frederick,255912,Registered Family Home,Rozina Hussain,Frederick,Maryland,21701,Yes,2,Yes,2,Yes,2,Mar 05 2019,Nov 19 2020,0,,,,
Prince George's,254757,Registered Family Home,Afroza Akter,College Park,Maryland,20740,Yes,0,No,,No,,,Dec 10 2019,0,,,,
Prince George's,254756,Registered Family Home,Lawrence Mopkins,District Heights,Maryland,20747,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 26 2020,0,,,,
Anne Arundel,254751,Center,The Center at Rehoboth,Linthicum,Maryland,21090,Yes,1,Yes,1,No,3,Oct 25 2018,Sep 23 2020,0,,,,
Wicomico,254750,Center,The Night Watch Child Care,Salisbury,Maryland,21801,Yes,3,Yes,3,No,3,Aug 09 2019,Sep 24 2020,1,Dec 11 2018,,,
Washington,255794,Registered Family Home,Sue Stottlemyer,Hagerstown,Maryland,21742,Yes,1,Yes,1,No,2,Oct 25 2018,Jun 11 2020,0,,,,
Charles,254742,Registered Family Home,Frances Whitehead,Waldorf,Maryland,20601,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 17 2020,0,,,,
Baltimore City,254741,Registered Family Home,Angel Cox,Baltimore,Maryland,21216,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 11 2020,0,,,,
Prince George's,254730,Center,The Living Water School,Hillcrest Heights,Maryland,20748,Yes,1,Yes,1,No,3,Dec 10 2018,Jul 01 2020,0,,,,
Allegany,254725,Registered Family Home,Jan Hymes,Cumberland,Maryland,21502,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 02 2020,0,,,,
Prince George's,254688,Center,AlphaBest@Clinton Grove Elementary,Clinton,Maryland,20735,Yes,1,Yes,1,No,1,Oct 25 2018,Jun 17 2020,0,,,,
Montgomery,254687,Registered Family Home,Sarah Neils,Gaithersburg,Maryland,20878,Yes,2,Yes,2,No,2,Dec 11 2018,Sep 29 2020,0,,,,
Washington,254683,Registered Family Home,Kathleen Free,Hagerstown,Maryland,21740,Yes,3,Yes,3,Yes,2,Oct 25 2018,Jul 21 2020,0,,,,
Dorchester,254682,Registered Family Home,Elizabeth Kienast,Hurlock,Maryland,21643,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 09 2020,0,,,,
Howard,254680,Registered Family Home,Sandra Moreno,Columbia,Maryland,21045,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 29 2020,0,,,,
Frederick,254673,Center,Kiddie Academy of Urbana,Frederick,Maryland,21704,Yes,1,Yes,1,No,3,Oct 25 2018,Nov 26 2020,0,,,,
Baltimore City,254672,Registered Family Home,Monica Holden,Baltimore,Maryland,21206,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 24 2020,0,,,,
Howard,254644,Registered Family Home,Cynthia Young,Columbia,Maryland,21045,Yes,1,Yes,1,No,2,Dec 11 2018,Dec 22 2020,0,,,,
Baltimore,254639,Center,The Learning Experience of Owings Mills,Owings Mills,Maryland,21117,Yes,1,Yes,1,No,3,Oct 25 2018,Oct 09 2020,1,Sep 11 2019,,,
Harford,254623,Center,Forest Hill Nature Preschool and Child Care,Forest Hill,Maryland,21050,Yes,3,Yes,3,Yes,3,Jan 29 2019,Dec 12 2020,3,Dec 27 2018,Accredited Program 2021-04-30,Maryland Accreditation (MSDE) 2021-04-30,MSDE
Frederick,254621,Registered Family Home,Amy Lynne Polchito,Frederick,Maryland,21701,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 24 2020,0,,,,
Montgomery,254598,Center,KAH @ Cloverly Elementary,Silver Spring,Maryland,20905,Yes,1,Yes,1,No,1,Oct 25 2018,May 15 2020,0,,,,
Baltimore City,254595,Center,Y Head Start Baltimore City@ Edmondson Avenue,Baltimore,Maryland,21229,Yes,1,Yes,1,No,3,Oct 25 2018,Jan 07 2020,0,,,,
Montgomery,254594,Center,Kids After Hours @ Carderock Springs Elementary,Bethesda,Maryland,20817,Yes,1,Yes,1,No,1,Oct 25 2018,Jul 14 2020,1,Oct 30 2018,,,
Montgomery,254589,Center,MSL International Children Center LLC,Germantown,Maryland,20876,Yes,3,Yes,3,No,3,Jan 25 2019,Mar 17 2020,0,,,,
Prince George's,254588,Center,New Life Assembly Day Care Center,Capitol Heights,Maryland,20743,Yes,1,Yes,1,Yes,3,Oct 25 2018,Oct 06 2020,0,,,,
Montgomery,254585,Center,KAH @ Bayard Rustin Elementary,Rockville,Maryland,20852,Yes,1,Yes,1,No,1,Oct 25 2018,Aug 01 2020,0,,,,
Montgomery,254581,Center,Kidsco Inc. @ Cashell,Rockville,Maryland,20853,Yes,2,Yes,2,No,2,Oct 22 2019,Dec 15 2020,0,,,,
Montgomery,254580,Center,Kids After Hours @ Page Elementary,Silver Spring,Maryland,20904,Yes,1,Yes,1,No,1,Oct 25 2018,Jul 15 2020,0,,,,
Montgomery,254578,Center,KidsCo Inc @ Grosvenor School,Bethesda,Maryland,20814,Yes,1,Yes,1,No,1,Dec 11 2018,Oct 21 2020,0,,,,
Baltimore,254574,Center,Open Door at Owings Mills Elementary,Owings Mills,Maryland,21117,Yes,1,Yes,1,No,1,Oct 25 2018,Apr 23 2020,0,,,,
Harford,254573,Center,The Zone After School Program,Edgewood,Maryland,21040,Yes,1,Yes,1,No,1,Oct 25 2018,Oct 21 2020,0,,,,
Queen Anne's,254571,Center,Sweet Bay Bright Beginnings,Stevensville,Maryland,21666,Yes,1,Yes,1,No,3,Oct 25 2018,Oct 01 2020,0,,,,
Frederick,254569,Center,Butterfly Ridge Elementary Before and After School Enrichment,Frederick,Maryland,21703,Yes,1,Yes,1,No,1,Oct 25 2018,Sep 11 2020,0,,,,
Anne Arundel,254568,Registered Family Home,Marjorie McLennon,Laurel,Maryland,20724,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 10 2020,0,,,,
Anne Arundel,254567,Registered Family Home,Michele Denson,Severn,Maryland,21144,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 09 2020,0,,,,
Washington,254566,Center,"Beacon House, Inc. Steam Works",Cascade,Maryland,21719,Yes,1,Yes,1,No,3,Oct 25 2018,Aug 20 2020,0,,,,
